NAME                            IMAGE                                      COMMAND                  SERVICE                CREATED        STATUS                       PORTS
corecity-file-service           corecity-properties-file-service           "java -jar app.jar"      file-service           47 hours ago   Up About an hour (healthy)   0.0.0.0:8083->8083/tcp, [::]:8083->8083/tcp
corecity-gateway                corecity-properties-api-gateway            "java -jar app.jar"      api-gateway            47 hours ago   Up About an hour (healthy)   0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
corecity-mysql                  mysql:8.0                                  "docker-entrypoint.s???"   mysql                  46 hours ago   Up About an hour (healthy)   0.0.0.0:3307->3306/tcp, [::]:3307->3306/tcp
corecity-notification-service   corecity-properties-notification-service   "java -jar app.jar"      notification-service   47 hours ago   Up About an hour (healthy)   0.0.0.0:8085->8085/tcp, [::]:8085->8085/tcp
corecity-property-service       corecity-properties-property-service       "java -jar app.jar"      property-service       47 hours ago   Up About an hour (healthy)   0.0.0.0:8082->8082/tcp, [::]:8082->8082/tcp
corecity-rabbitmq               rabbitmq:3-management                      "docker-entrypoint.s???"   rabbitmq               47 hours ago   Up About an hour (healthy)   0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp
corecity-transaction-service    corecity-properties-transaction-service    "java -jar app.jar"      transaction-service    47 hours ago   Up About an hour (healthy)   0.0.0.0:8084->8084/tcp, [::]:8084->8084/tcp
corecity-user-service           corecity-properties-user-service           "java -jar app.jar"      user-service           47 hours ago   Up About an hour (healthy)   0.0.0.0:8081->8081/tcp, [::]:8081->8081/tcp

